Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
932,54.8,1000,1.2063
934,54.8,1000,1.2063
935,54.8,1000,1.2063
936,54.8,1000,1.2063
937,54.8,1000,1.2063
938,54.8,1000,1.2063
939,54.8,1000,1.2063
940,54.2,1000,1.2063
941,54.2,1000,1.2063
942,54.8,1000,1.2063
943,54.8,1000,1.2063
944,54.8,1000,1.2063
945,55.8,1000,1.2063
946,54.8,1000,1.2063
947,55.3,1000,1.2063
948,54.8,1000,1.2063
949,55.8,1000,1.2063
950,54.8,1000,1.2063
951,54.8,1000,1.2063
952,55.3,1000,1.2063
954,55.3,1000,1.2063
955,55.8,1000,1.2063
956,54.8,1000,1.2063
957,54.8,1000,1.2063
958,55.3,1000,1.2063
959,55.8,1000,1.2063
960,54.8,1000,1.2063
961,54.8,1000,1.2063
962,54.8,1000,1.2063
963,55.3,1000,1.2063
964,55.3,1000,1.2063
965,54.8,1000,1.2063
966,55.3,1000,1.2063
967,54.8,1000,1.2063
968,54.8,1000,1.2063
969,55.3,1000,1.2063
970,55.3,1000,1.2063
971,55.3,1000,1.2063
972,54.8,1000,1.2063
974,55.3,1000,1.2063
975,54.8,1000,1.2063
976,54.8,1000,1.2063
977,55.3,1000,1.2063
978,54.8,1000,1.2063
979,54.8,1000,1.2063
980,55.3,999,1.2063
981,55.3,1000,1.2063
982,54.8,1000,1.2063
983,55.8,1000,1.2063
984,55.3,1000,1.2063
985,54.8,1000,1.2063
986,55.8,1000,1.2063
987,55.3,1000,1.2063
988,55.3,999,1.2063
989,55.3,1000,1.2063
990,55.3,1000,1.2063
991,55.3,1000,1.2063
993,54.8,1000,1.2063
994,55.3,1000,1.2063
995,55.8,1000,1.2063
996,55.8,1000,1.2063
997,55.3,1000,1.2063
998,54.8,1000,1.2063
999,54.8,1000,1.2063
1000,55.3,1000,1.2063
1001,55.3,1000,1.2063
1002,54.8,1000,1.2063
1003,55.8,1000,1.2063
1004,54.8,1000,1.2063
1005,55.3,1000,1.2063
1006,55.3,1000,1.2063
1007,54.8,1000,1.2063
1008,55.8,1000,1.2063
1009,55.8,1000,1.2063
1010,55.8,1000,1.2063
1011,55.3,1000,1.2063
1012,55.3,1000,1.2063
1013,55.3,1000,1.2063
1015,55.8,1000,1.2063
1016,54.8,1000,1.2063
1017,55.3,1000,1.2063
1018,55.8,1000,1.2063
1019,55.3,1000,1.2063
1020,55.3,1000,1.2063
1021,54.8,1000,1.2063
1022,55.8,1000,1.2063
1023,55.3,1000,1.2063
1024,55.3,1000,1.2063
1025,55.3,1000,1.2063
1026,54.8,1000,1.2063
1027,55.3,1000,1.2063
1028,54.8,1000,1.2063
1029,55.8,1000,1.2063
1030,55.3,1000,1.2063
1031,55.3,1000,1.2063
1032,55.8,1000,1.2063
1033,55.3,1000,1.2063
